drug	disease	label
DB08815	C0026896	0
DB06016	C0023481	0
DB00882	C0021361	1
megestrol-acetate	C0003123	1
DB05676	C0003872	1
DB00153	C0029442	1
cyclosporin-a	C0006114	0
DB06262	C0030567	1
DB00906	C0017612	0
DB08893	C0032227	0
DB06694	C0027424	1
DB00030	C0035335	0
DB03754	C0001122	1
DB00298	C0017601	1
DB00908	C0238198	0
DB05265	C0013238	1
DB01100	C0040517	1
DB05630	C0036323	1
DB00324	C0035854	1
DB00017	C0020437	1
DB00213	C0014868	1
DB00927	C0043515	1
DB00844	C0030446	0
DB11827	C0011849	1
DB01148	C0010692	1
DB00873	C0035854	1
DB00544	C0699791	1
DB00824	C0011882	1
DB06372	C0085649	0
DB00942	C0206682	0
DB00555	C0029442	0
DB01436	C0017531	0
DB09048	C0042963	1
DB00588	C0029458	0
DB00379	C0042510	1
DB06603	C0017638	0
DB09085	C0271578	0
DB11571	C0022638	0
DB04576	C0011991	1
DB00641	C0027708	0
DB00378	C0156404	1
DB04890	C0342731	0
DB01393	C0242339	0
DB00635	C0022073	1
DB06470	C0029442	0
DB00694	C0023465	1
DB00643	C0151942	0
DB01611	C0085129	0
DB09010	C0546817	0
DB00129	C0042024	0
DB01254	C0023472	1
DB11560	C0036421	0
DB06684	C0027627	0
DB06273	C0021308	0
DB00608	C0036421	1
DB01176	C0042373	0
DB08799	C0343065	1
DB04855	C0235480	1
clebopride	C0524910	0
DB00240	C0011849	0
DB00858	C0008325	0
DB00922	C0003811	1
picotamide	C0023437	0
DB11748	C0876973	0
DB00940	C0032768	0
DB01291	C0085413	0
DB00402	C0238111	0
DB00151	C1408258	1
DB01175	C0276226	0
DB00651	C0034067	1
DB00451	C0032019	0
DB00906	C0221023	0
DB00389	C0040156	1
DB00161	C0019151	1
DB00957	C0149704	0
DB03852	C0042842	0
DB00902	C0014742	0
DB00591	C0079773	1
DB06710	C0342527	1
DB00215	C0011581	1
DB06717	C0036983	0
DB00924	C0006114	0
DB00934	C2718128	0
DB00654	C0220710	0
nemonapride	C0019112	0
DB01174	C0009952	1
DB06711	C0015624	0
DB09292	C0038013	0
DB09301	C0032227	0
DB00531	C0027726	1
DB01124	C0020456	1
DB00199	C0268596	0
DB06695	C1861172	1
DB08815	C0005587	1
DB00091	C0042024	0
DB00491	C0023443	0
DB00421	C0020621	1
DB00677	C0028768	0
DB00031	C0035457	0
DB11783	C0018802	1
DB01031	C0031069	0
DB01113	C0027051	1
DB00591	C0037930	0
DB01380	C0009763	1
DB00537	C0020456	0
DB03619	C0024419	0
DB06219	C0040028	0
DB09064	C0022104	0
DB06209	C0013238	0
DB00619	C0005699	1
DB00864	C0542346	0
DB01167	C0030319	0
DB00030	C0011849	1
DB01047	C0024121	0
DB01144	C0017601	1
DB00295	C0019243	0
DB01129	C0015469	0
DB01248	C1168401	1
DB01234	C0015397	1
DB01275	C0020538	1
DB00636	C0020443	1
DB00850	C0027497	1
DB00687	C0010346	0
DB04894	C0006118	0
DB00547	C0036508	1
DB00850	C0030807	0
DB00951	C1328407	0
DB00420	C0002994	1
DB05332	C0022354	0
DB00627	C0020473	1
DB02300	C0238198	0
DB01085	C0020474	0
DB00668	C0428977	1
DB00017	C0029458	1
DB00973	C0011603	0
DB00311	C0268390	0
DB00768	C0014121	0
DB00459	C0022593	1
DB06016	C0004245	0
DB01380	C0019112	1
DB00938	C0023480	0
DB04743	C0029408	1
DB00384	C0023890	1
DB02772	C0038013	0
DB04841	C0042571	1
DB09146	C0032463	0
DB09075	C0034951	0
DB06285	C0020626	1
DB04846	C0027697	0
DB13873	C0040136	0
DB00788	C0005684	0
DB00429	C0026848	0
fluocinolone-acetonide	C0042847	0
DB00823	C0150055	0
DB00683	C0003467	1
DB08985	C2267227	0
DB12364	C0029442	0
DB01197	C0004775	1
DB01194	C0018794	0
DB09045	C0007194	0
DB08907	C0020456	1
DB11572	C0009324	0
DB00298	C0020546	0
DB01234	C0038013	1
DB00095	C0005694	0
DB09085	C0282488	0
DB00588	C0887833	0
DB00675	C0043202	0
DB01619	C0020517	1
DB09351	C0014733	0
DB00317	C0003962	0
DB04845	C0002871	0
DB00427	C0002994	1
DB01146	C0020538	0
DB00586	C0029408	1
DB00449	C0017601	1
DB11560	C0018099	1
DB00585	C0043515	1
DB00959	C0003868	1
DB00575	C0020545	0
DB00547	C0079773	1
DB01076	C0020557	1
DB01070	C0029442	1
DB00734	C0878773	0
DB06650	C0018273	0
DB09018	C0027497	1
DB13036	C0017636	0
DB00123	C0029456	1
DB00648	C1527304	0
DB00849	C0232940	0
DB00751	C0023212	0
DB00959	C0015397	1
DB01619	C0015967	0
DB00643	C0030567	1
DB00282	C0020437	1
DB00543	C0020626	0
DB00996	C0032768	1
DB00843	C0596263	0
DB00029	C0027051	1
DB00031	C0027051	1
DB01394	C0018099	1
DB01126	C0524910	0
DB00924	C0020479	0
DB00927	C0018834	1
DB00181	C0040997	1
DB12319	C0030319	0
DB00748	C0042487	0
DB06654	C0020437	0
DB00537	C0039621	0
DB00850	C0027498	1
DB00774	C0022661	1
DB00800	C0018802	1
DB00206	C0033975	1
DB11595	C0024031	0
DB01393	C0020479	1
DB00839	C0011860	1
DB00936	C0542346	1
DB00650	C0016412	1
DB13500	C0012833	0
DB00055	C0015672	0
DB04841	C1704436	1
DB00959	C0036202	1
DB12831	C0015530	0
DB00030	C2748055	1
DB00005	C0003872	1
DB00374	C0023267	0
DB08995	C0149871	1
DB00584	C0034063	0
DB09241	C0025637	1
DB01128	C0018418	0
DB01243	C0018995	0
DB00347	C0019618	0
DB00531	C0023467	1
DB01035	C0024117	0
chlorogenic-acid	C0085649	0
DB09225	C0282528	0
tepoxalin	C0003873	1
DB00434	C0007194	0
DB01254	C0022876	0
DB00814	C0029408	1
DB00332	C0035457	1
DB11181	C0018671	0
DB08869	C0162565	0
DB00643	C0029401	0
DB00738	C0019112	0
DB00086	C0040053	1
DB01077	C0029396	1
DB00699	C0027424	0
DB00498	C0010200	0
DB00540	C0023518	0
DB01124	C0011616	0
DB00904	C0015672	0
DB08806	C0041582	1
DB04845	C0024305	1
DB00607	C0014121	1
DB01327	C0020445	0
DB06803	C0751362	0
DB01365	C0029927	0
DB01207	C0162568	0
DB01303	C0003578	1
DB08816	C0948089	1
DB06720	C0017205	1
DB00395	C0004604	1
DB00496	C0021390	0
DB01041	C0376545	0
DB00759	C0302280	0
DB00720	C0027796	0
DB01400	C0220756	0
DB01197	C0242698	1
DB06176	C0027121	0
DB09289	C0022104	1
DB00652	C0030193	1
DB00310	C0027121	0
DB13689	C0271650	0
DB00418	C0917801	1
DB00553	C0002893	0
DB00206	C0085580	1
DB00381	C1956346	1
DB05541	C0026896	0
DB05679	C0033860	1
DB00290	C0039590	1
DB09568	C0017086	0
DB00136	C0020598	1
DB09488	C0035457	1
DB08880	C0032019	0
DB01250	C0009324	1
DB09049	C0038454	0
DB00357	C0027661	1
DB00641	C0027051	1
DB00544	C0018671	1
DB00471	C0003811	1
DB00206	C0079744	0
DB01033	C0024305	1
DB01017	C0037199	1
DB00007	C0021361	1
DB00125	C0029434	0
DB09488	C0042109	1
DB00719	C0036690	0
DB03904	C0151740	1
DB00851	C0015230	0
DB00885	C0018621	1
DB06706	C0022951	0
DB01039	C1527311	0
DB06626	C0005697	0
DB01309	C0036920	0
DB00957	C0002453	1
DB00953	C0042510	0
DB01324	C0343755	0
DB06216	C0151636	0
DB12833	C3495559	0
DB00818	C0021359	0
DB08922	C0002965	0
DB06480	C2607914	0
DB00875	C0268070	0
DB00241	C0035579	0
DB00262	C0017636	1
DB00884	C0029458	1
DB08818	C0276535	0
DB01102	C0022073	0
DB11273	C0018790	0
DB00813	C0030193	1
DB00181	C0026769	1
DB00086	C0042487	1
trelagliptin	C0079731	0
DB11572	C0019080	1
DB01237	C0162565	0
DB00397	C0033117	1
DB00335	C0004238	1
DB04899	C0018802	1
DB13996	C1142132	0
DB02709	C0009324	0
DB00946	C0040053	1
DB09068	C0085631	0
DB00394	C0023518	0
DB06775	C0151744	0
DB01222	C0220983	0
DB01069	C0268390	0
DB00737	C0016470	0
DB00896	C0016470	0
DB00005	C0003873	1
DB00747	C0010200	1
DB01340	C0038160	0
DB00297	C0033774	1
DB00604	C0007785	0
DB01039	C0473527	1
DB01019	C0080274	1
DB01173	C0231528	1
DB01590	C0041341	1
DB00959	C2607914	1
DB01030	C1336708	0
DB00223	C0040147	0
DB01181	C0005283	0
DB00493	C0025289	1
DB00741	C0003864	1
DB00178	C0027051	1
DB11273	C0031069	0
DB00122	C0023892	0
DB00837	C0008149	0
DB01262	C0236964	0
DB00959	C0079773	1
DB01410	C0751674	0
DB00234	C0079731	0
DB01380	C0023449	1
DB00813	C0011633	0
DB00285	C1269683	1
DB00583	C0268596	1
DB00843	C0002395	1
trepibutone	C0035455	0
DB06786	C0015230	1
DB06684	C0005697	0
DB00860	C1527336	1
DB01274	C0008677	1
DB00508	C0205768	0
DB08807	C0025874	0
DB00253	C0042164	1
azelaic-acid	C0004114	0
DB00334	C0005586	1
DB06788	C0003811	0
DB00041	C0025202	1
DB00967	C0149931	0
DB00860	C0221765	0
DB00005	C0032580	0
DB00169	C0035579	1
DB01158	C0002453	0
DB06707	C0149821	0
DB00797	C0342788	0
DB01162	C0020538	1
DB00501	C0014869	1
DB00110	C0029442	0
DB00279	C1527336	0
DB00635	C0018133	1
DB00086	C0005138	0
DB11660	C0038363	0
DB00903	C0151740	0
DB00596	C0018995	0
DB00379	C0085612	1
DB01628	C0003873	1
DB00643	C0020480	0
DB03255	C0038363	1
DB11081	C0878773	0
DB00956	C0041582	0
DB00415	C0014121	1
DB01070	C0018798	0
DB00531	C0014170	1
DB01146	C1306889	0
DB01020	C0002962	1
DB00912	C0003578	0
DB04845	C0027726	0
DB06710	C0242350	1
DB06193	C1458155	0
DB00209	C0042024	1
DB01118	C0023440	0
DB01068	C0014544	1
DB01204	C0033578	1
DB00657	C0013386	0
DB00454	C0008350	0
DB00635	C0036202	1
DB00421	C0018802	1
DB05578	C0030569	0
DB00086	C0151942	1
DB00277	C0037299	0
DB09108	C0023487	0
DB08907	C0035412	0
DB01234	C0015230	1
DB01595	C0013421	0
DB00848	C0025202	1
DB05266	C0007820	1
DB01036	C0878773	1
DB01156	C0007138	0
DB01577	C0007137	0
DB01146	C2607914	1
DB01618	C0042133	0
DB00650	C1527249	1
DB08801	C0231528	0
etofylline	C0206693	0
DB01324	C0023890	1
DB00033	C0018916	1
DB13169	C0016470	0
DB01283	C0342881	0
DB00418	C0001206	0
DB00810	C0029134	0
DB00435	C0002893	0
DB00237	C0030807	0
DB00758	C0040053	1
DB01136	C0342881	0
DB01340	C0018802	1
DB04572	C0027022	1
DB08807	C0178416	0
DB00620	C0018621	1
DB06736	C0024031	1
DB09053	C0030807	0
DB01234	C0019829	1
methylprednisolone-aceponate	C0033860	1
DB00244	C0042847	0
DB01233	C0017168	1
DB11582	C1306889	0
DB11572	C0029191	0
DB00736	C0017168	1
DB08955	C0013604	0
DB00273	C0037769	1
DB00414	C0005699	0
DB00531	C0019829	1
DB00784	C0003873	1
DB06785	C0268490	0
DB00276	C0004364	0
DB00439	C0020473	1
DB00806	C0017086	1
DB00594	C0027819	0
DB01199	C2937421	0
DB12243	C0029401	0
DB01234	C0006114	1
DB00583	C0268583	1
DB01234	C0002880	1
DB00605	C0003868	1
DB04931	C0039103	0
DB00051	C0038013	1
DB00190	C0030567	1
DB08826	C0024305	0
DB00347	C0036572	1
DB01261	C0037769	0
DB00247	C1621958	0
DB09034	C0034065	0
DB06764	C0149871	0
DB00241	C0028949	0
DB01435	C0029882	1
DB00590	C0036323	0
DB08816	C0085096	1
DB00953	C0020445	0
DB00741	C0030807	1
DB00175	C0003962	0
DB00921	C0013415	0
DB00776	C0014544	1
DB00988	C0014836	0
DB01280	C0342527	0
DB00175	C0020557	1
DB08827	C0000744	1
DB00366	C0010481	0
DB00916	C0013295	1
DB00775	C0948089	1
DB04845	C0155862	0
DB01037	C0030567	1
DB01204	C0023467	1
DB00159	C0017668	0
DB00141	C0080274	0
DB00988	C0027051	1
DB06168	C0268390	1
DB00350	C0002170	1
DB00571	C0031511	1
bifemelane	C0036572	0
DB00531	C0023473	1
DB11598	C0019156	1
DB01220	C0014356	1
DB04572	C0428977	0
DB01214	C0014743	0
DB08799	C0398623	0
DB09079	C0007131	1
DB01436	C0042870	1
telotristat-ethyl	C0011991	1
DB00517	C4048328	0
DB01169	C0023487	1
DB00286	C1384606	1
DB06691	C0031190	0
DB06719	C0007138	0
DB00741	C0024138	1
DB00635	C0011615	1
DB01023	C0085580	1
DB01076	C0342881	1
DB08901	C0023473	1
DB02701	C0020473	1
DB00530	C0003467	0
DB00210	C0702166	1
DB05266	C0043515	0
DB08871	C0020615	0
clorprenaline	C0242973	0
DB12010	C0003873	1
DB05332	C0398650	1
DB00830	C1565489	0
DB00810	C0030193	0
DB00669	C0149931	1
DB09043	C0032027	0
DB06202	C0029456	1
DB01100	C0029442	0
DB04575	C0025322	1
DB01169	C0023479	1
DB01157	C0010417	0
DB00551	C0276535	0
DB00288	C0011616	1
DB00497	C0015397	0
DB00317	C0398775	0
DB00118	C0029408	1
DB00635	C0014742	1
DB00645	C0036220	0
DB00484	C0017612	1
DB00700	C0001883	0
DB00714	C0040034	0
DB01427	C0036980	1
DB01270	C0027686	1
DB00030	C0011854	1
DB08985	C0238462	0
DB01380	C0006114	1
DB01352	C0032463	0
DB01237	C0027424	1
DB00588	C0011615	1
DB04894	C0451641	0
DB11995	C0002888	0
DB01392	C1394891	0
DB00797	C0042373	1
DB00869	C0023440	0
DB00993	C0017086	0
DB00199	C0020428	0
DB00997	C0027708	1
ipragliflozin-l-proline	C0221765	0
DB00594	C0010674	1
DB01349	C1263846	0
DB00574	C0043352	0
DB01095	C0242339	1
DB00482	C0020502	0
DB06777	C0023440	0
DB09477	C1269683	0
DB01333	C0033581	1
DB06288	C0262584	0
DB01260	C0015230	1
DB07477	C0231528	1
DB00986	C0030920	1
DB04932	C0015672	0
DB00068	C0026769	1
DB01144	C0020640	0
DB00209	C0085606	1
DB01067	C0011860	1
hydrocortisone-phosphate	C0027497	1
DB00959	C0004096	1
DB01014	C0022116	0
DB08826	C0023890	0
DB13928	C0011860	1
DB00052	C0042138	0
DB00215	C1269683	1
DB09108	C0031046	0
DB06413	C0520679	1
DB00246	C0005586	1
DB00927	C0033975	0
DB01626	C0020538	1
DB01185	C0002994	1
DB04572	C1261473	1
DB00910	C0020502	1
DB00997	C0020615	0
DB00976	C0010930	0
DB00857	C0014877	0
DB00394	C0038454	0
DB00541	C0019829	1
DB07477	C0002453	0
DB01580	C1275126	0
budipine	C0030567	1
DB00266	C0079731	0
DB11136	C0028754	1
DB00600	C0342527	0
DB06786	C0011616	1
DB01122	C0026848	1
DB00655	C0009319	0
DB09215	C0003873	1
DB01426	C0020557	0
DB01408	C0004096	1
DB00562	C0019080	0
DB08799	C2607914	1
DB00977	C0085215	1
DB00444	C0023448	1
DB00559	C2973725	1
DB04895	C0014121	0
DB00218	C0032285	1
DB00191	C0020649	1
DB09235	C0038525	0
DB00788	C1260899	0
DB00838	C0015456	1
DB00068	C0023443	1
DB00212	C0037274	0
DB00885	C2607914	1
DB00028	C0021051	1
DB00493	C0031154	1
melevodopa	C0877792	0
DB00741	C0006114	1
DB00810	C0038362	0
DB00048	C0037299	1
DB00428	C0036980	0
DB00593	C0494475	0
DB00013	C0014038	0
DB01113	C0007786	1
DB09215	C0029408	1
DB00598	C0020538	1
DB01364	C0027424	1
DB00850	C0042963	1
DB08800	C0003492	0
DB01148	C0035229	0
DB00163	C0004096	1
DB00511	C0028840	0
estropipate	C0085612	0
DB01217	C0029396	0
DB01073	C0001957	0
DB00378	C0000809	1
DB00418	C0029882	0
DB01616	C0013390	1
DB00678	C0021141	0
DB00170	C0019080	1
DB06193	C0235974	0
DB09371	C0282193	0
DB01208	C0282193	0
DB01611	C0007095	0
DB00131	C0025294	0
DB00366	C0033774	1
DB01228	C0151636	1
DB09039	C0011615	0
DB01200	C0033375	1
DB01039	C0020476	1
DB09198	C0019243	0
DB06148	C0013295	0
DB00489	C0004239	1
DB01303	C1565489	0
DB09029	C0856727	0
DB09026	C0424489	0
DB00555	C0040822	0
DB09014	C0034065	0
DB01593	C1263846	0
DB05541	C0036572	1
DB01115	C0917805	0
DB00008	C0006118	1
ammonium-lactate	C0079584	1
DB00387	C0013421	1
DB09067	C0398775	0
DB04924	C0041582	0
DB00850	C0020179	1
DB01280	C0024894	0
DB01005	C0040028	1
DB01380	C0002453	0
DB00951	C0040261	0
DB00147	C0029134	0
DB01352	C0151721	0
DB00277	C0003578	1
DB13179	C0155862	1
DB00764	C0018621	1
buflomedil	C2748055	0
DB03904	C0870082	1
DB00519	C0020538	1
DB12598	C0019080	1
DB00290	C1261473	1
dexamethasone-sodium-phosphate	C0033860	1
DB01214	C0038454	0
DB00213	C0024138	0
DB00774	C0020538	1
DB09089	C0022104	1
DB00401	C0020538	1
DB11614	C0042109	1
DB00989	C0002395	1
DB00628	C0007785	0
DB04920	C0010200	0
DB00635	C0037274	1
DB00851	C0242422	0
DB06273	C0342527	0
DB00939	C0030193	1
DB00264	C0010417	0
DB01202	C0085413	0
DB13167	C0036983	0
DB01576	C0149871	0
DB00427	C0031154	0
DB00920	C0032460	0
DB08827	C0342881	1
DB09080	C0006267	0
DB03085	C0020649	0
DB00887	C0022660	1
DB01090	C0035412	0
DB01068	C0595948	1
DB01252	C0026691	0
DB09221	C0018213	0
DB00383	C0151721	0
DB09225	C0036341	1
DB00472	C0028768	1
DB00741	C0014356	1
DB01380	C0001403	1
DB00571	C0002871	0
DB00489	C0004238	1
DB01110	C1269683	0
DB14006	C0007137	0
DB06273	C0033375	0
fludrocortisone-acetate	C0302280	1
DB00796	C0206686	0
DB00773	C0005695	1
DB01110	C0040261	1
DB01262	C0002893	1
DB06764	C0154143	0
DB00226	C0020538	1
DB00162	C0042870	1
DB01148	C0013428	1
DB00072	C0002390	0
DB01380	C0025289	1
DB01192	C0150055	1
DB00008	C0023443	1
DB00957	C0342907	0
DB00169	C0010346	1
DB01081	C0011991	1
DB00432	C0022573	1
DB00403	C0030446	1
DB01005	C0033860	1
DB00861	C0020503	0
DB01126	C0020507	1
DB09015	C0014175	0
DB00176	C0018671	0
DB08814	C0004238	1
buflomedil	C0022575	0
DB01065	C0008325	0
carazolol	C0234974	0
DB09006	C0002895	0
DB00979	C0751362	0
DB00800	C0235480	0
DB00697	C0242488	0
DB00348	C0085580	0
epalrestat	C0398623	0
DB01109	C0149871	1
DB00010	C0343755	1
DB00598	C0032914	1
DB00620	C0003873	1
DB01268	C0023487	0
DB08983	C0877792	0
DB00070	C0020459	0
DB00119	C0024031	0
DB06626	C0405580	0
DB02901	C0018418	0
DB00949	C0234974	1
DB06480	C0011644	0
DB00322	C0032000	0
DB00378	C0021359	1
DB01181	C0149925	1
DB00844	C0014553	0
DB08911	C0235480	0
DB00201	C0015672	1
DB00212	C0018801	1
DB01265	C0524909	1
DB00385	C0005695	1
DB03793	C0011633	1
DB00393	C0015672	0
DB00496	C0085606	1
DB00458	C0040261	0
DB00514	C2607914	1
DB00629	C0036220	0
DB00215	C0085649	0
DB00380	C0149931	0
DB01043	C0013384	1
DB00191	C0022661	0
DB00324	C0042164	1
DB09038	C0150055	0
DB01595	C0018418	0
DB09229	C0268596	0
DB00192	C0019243	0
DB01025	C0009763	1
DB00091	C0004096	1
DB00290	C0151686	0
DB00860	C2607914	1
DB09517	C0036421	0
DB00863	C0038358	1
DB00605	C0003873	1
