node	type
DB01380	drug
DB00838	drug
DB08867	drug
DB00288	drug
DB08906	drug
DB00351	drug
DB00764	drug
DB01013	drug
prednisolone-sodium-phosphate	drug
DB00180	drug
hydrocortisone-phosphate	drug
clobetasone-butyrate	drug
DB00591	drug
DB00240	drug
DB00834	drug
DB01047	drug
DB01222	drug
DB06786	drug
DB00959	drug
DB01130	drug
DB00253	drug
DB00394	drug
DB09091	drug
DB00846	drug
DB11824	drug
5871	protein
DB00945	drug
3309	protein
DB13999	drug
DB00025	drug
DB00428	drug
6514	protein
DB00241	drug
2898	protein
DB00849	drug
DB01352	drug
DB00237	drug
DB00306	drug
DB01353	drug
DB00794	drug
DB00599	drug
DB01174	drug
DB00418	drug
DB01351	drug
DB00312	drug
DB00142	drug
DB00273	drug
2897	protein
3984	protein
DB08912	drug
3339	protein
DB00139	drug
8974	protein
DB08818	drug
708	protein
hyaluronic-acid	drug
DB00491	drug
23193	protein
DB00188	drug
5684	protein
DB08889	drug
5747	protein
DB06372	drug
3552	protein
thiram	drug
3717	protein
DB08895	drug
DB11817	drug
DB08877	drug
3856	protein
DB06756	drug
596	protein
DB01367	drug
DB11581	drug
DB01229	drug
DB09401	drug
DB12243	drug
DB09213	drug
DB01248	drug
DB01050	drug
DB08871	drug
8678	protein
4790	protein
DB08814	drug
DB01411	drug
DB01041	drug
DB00244	drug
240	protein
tepoxalin	drug
DB00586	drug
DB00744	drug
DB11994	drug
DB01014	drug
DB00233	drug
DB00795	drug
DB08955	drug
DB00179	drug
DB01017	drug
DB00939	drug
DB00163	drug
DB00471	drug
silibinin	drug
DB00514	drug
4689	protein
DB00903	drug
51176	protein
5567	protein
6622	protein
5970	protein
DB08908	drug
DB06151	drug
2353	protein
DB01592	drug
2237	protein
207	protein
arsenic-trioxide	drug
2321	protein
DB09221	drug
DB09099	drug
4985	protein
DB00956	drug
DB01192	drug
DB00318	drug
DB01081	drug
DB00327	drug
butorphanol-(+)-tartrate	drug
DB00295	drug
DB00193	drug
DB06204	drug
DB11130	drug
DB06230	drug
DB00844	drug
DB00813	drug
DB00704	drug
DB09289	drug
DB09272	drug
DB01452	drug
DB06800	drug
DB00921	drug
DB00647	drug
DB00497	drug
DB00854	drug
DB00836	drug
DB00611	drug
DB00806	drug
5147	protein
DB00975	drug
DB00083	drug
388	protein
DB00126	drug
5066	protein
DB04519	drug
5465	protein
DB00573	drug
DB01132	drug
DB01393	drug
DB01241	drug
DB00132	drug
DB01039	drug
DB00328	drug
DB08983	drug
DB00313	drug
DB09064	drug
DB03017	drug
DB00636	drug
DB00412	drug
DB13873	drug
DB00159	drug
DB09006	drug
8503	protein
5290	protein
DB12483	drug
DB09054	drug
DB00851	drug
5226	protein
DB00920	drug
6403	protein
DB00594	drug
25865	protein
DB06637	drug
3739	protein
2241	protein
5594	protein
4751	protein
5170	protein
DB00482	drug
5590	protein
DB00307	drug
6256	protein
DB00755	drug
DB00162	drug
DB00210	drug
DB01436	drug
DB00749	drug
1191	protein
7048	protein
10572	protein
DB00864	drug
2280	protein
DB00877	drug
zotarolimus	drug
DB00337	drug
7046	protein
472	protein
25	protein
DB04868	drug
4914	protein
2242	protein
6714	protein
2048	protein
DB00922	drug
7137	protein
DB01244	drug
DB00831	drug
7157	protein
5708	protein
4921	protein
DB00108	drug
3676	protein
DB09033	drug
DB00290	drug
3980	protein
DB01349	drug
186	protein
DB00796	drug
DB08822	drug
DB09121	drug
5584	protein
660	protein
DB09053	drug
8573	protein
DB00798	drug
4036	protein
gentamycin	drug
DB00013	drug
2066	protein
DB03793	drug
9367	protein
DB05016	drug
1756	protein
DB00055	drug
2157	protein
DB13933	drug
DB13152	drug
DB00100	drug
5264	protein
L-Arginine	drug
445	protein
DB00125	drug
DB00155	drug
DB00128	drug
L-Citrulline	drug
5605	protein
DB08911	drug
DB00242	drug
5422	protein
DB00987	drug
DB01280	drug
DB01073	drug
DB00631	drug
fludarabine-phosphate	drug
DB01238	drug
3358	protein
DB00472	drug
spiperone	drug
DB00696	drug
DB00850	drug
DB00434	drug
DB00589	drug
DB01267	drug
DB00934	drug
DB00268	drug
DB06153	drug
DB00935	drug
DB00777	drug
DB01149	drug
DB00458	drug
DB00734	drug
DB00476	drug
DB00623	drug
DB00543	drug
DB06148	drug
DB04871	drug
DB00805	drug
DB00420	drug
DB01239	drug
DB09000	drug
DB00656	drug
DB06594	drug
DB01392	drug
DB00215	drug
DB01200	drug
DB01403	drug
DB01224	drug
DB01142	drug
DB08839	drug
DB01186	drug
DB09225	drug
DB00246	drug
DB01079	drug
DB12163	drug
DB00714	drug
DB01191	drug
DB09304	drug
DB00247	drug
DB06144	drug
DB01242	drug
DB00574	drug
DB09014	drug
DB00413	drug
DB00363	drug
DB00477	drug
DB06713	drug
367	protein
DB00621	drug
DB01063	drug
DB01026	drug
DB01395	drug
DB09123	drug
DB06718	drug
DB08899	drug
DB00984	drug
DB00499	drug
testosterone-enanthate	drug
DB13169	drug
DB09389	drug
testosterone-undecanoate	drug
DB00665	drug
DB08804	drug
DB01128	drug
DB02901	drug
DB01420	drug
DB08604	drug
DB06412	drug
DB00858	drug
7182	protein
56924	protein
598	protein
DB01599	drug
19	protein
DB01016	drug
DB05266	drug
5144	protein
DB05676	drug
DB00651	drug
DB00131	drug
DB09283	drug
DB01656	drug
DB01025	drug
DB09273	drug
DB00277	drug
DB01088	drug
3172	protein
3718	protein
1432	protein
5693	protein
6278	protein
3761	protein
2047	protein
50488	protein
DB01003	drug
6286	protein
659	protein
DB09039	drug
7357	protein
DB00419	drug
11157	protein
DB01138	drug
1244	protein
2185	protein
DB01097	drug
2475	protein
DB06287	drug
DB01590	drug
2100	protein
5468	protein
DB09198	drug
DB00731	drug
DB01067	drug
DB01252	drug
DB00966	drug
DB00912	drug
3312	protein
5241	protein
DB00717	drug
DB05521	drug
chlormadinone-acetate	drug
DB00378	drug
DB00451	drug
7068	protein
DB00509	drug
5753	protein
5689	protein
6035	protein
5880	protein
DB11324	drug
7442	protein
DB09288	drug
DB01744	drug
DB00316	drug
DB06774	drug
DB11131	drug
DB04941	drug
1080	protein
DB09280	drug
DB08820	drug
DB00887	drug
DB11712	drug
190	protein
4215	protein
5607	protein
9311	protein
sodium-salicylate	drug
DB03619	drug
9971	protein
DB05990	drug
DB02659	drug
DB01586	drug
DB06777	drug
5564	protein
DB00331	drug
5571	protein
51422	protein
5565	protein
DB00928	drug
1788	protein
DB01262	drug
5602	protein
5600	protein
DB06176	drug
8841	protein
DB05015	drug
DB02546	drug
DB06603	drug
5427	protein
7099	protein
4170	protein
DB04115	drug
332	protein
DB00206	drug
9212	protein
8737	protein
DB00583	drug
6583	protein
116085	protein
DB11560	drug
DB01356	drug
2932	protein
94121	protein
8576	protein
DB00141	drug
55577	protein
DB01382	drug
3758	protein
DB00222	drug
DB00839	drug
DB00414	drug
DB00350	drug
DB01124	drug
5034	protein
DB01303	drug
3066	protein
DB01223	drug
DB00227	drug
DB00608	drug
54106	protein
DB01611	drug
10188	protein
5914	protein
DB00982	drug
DB04942	drug
DB00799	drug
468	protein
10499	protein
DB00157	drug
4535	protein
4502	protein
5587	protein
DB00727	drug
4881	protein
DB00325	drug
DB04899	drug
DB00883	drug
4536	protein
26251	protein
3745	protein
DB08883	drug
2890	protein
DB00228	drug
DB00606	drug
9033	protein
51086	protein
9874	protein
91754	protein
5426	protein
2030	protein
81502	protein
1459	protein
4067	protein
2261	protein
DB00627	drug
23475	protein
DB01176	drug
6783	protein
DB00133	drug
875	protein
DB00114	drug
DB00151	drug
DB00118	drug
8428	protein
DB00143	drug
2947	protein
DB00720	drug
293	protein
8985	protein
10016	protein
95	protein
DB00811	drug
22978	protein
5682	protein
DB00173	drug
6733	protein
5152	protein
10606	protein
2571	protein
1312	protein
DB00323	drug
DB11632	drug
DB00494	drug
DB00515	drug
331	protein
6548	protein
DB00768	drug
6271	protein
5515	protein
7031	protein
4707	protein
DB00145	drug
27232	protein
DB00628	drug
2563	protein
DB00842	drug
DB00801	drug
DB00690	drug
DB00404	drug
DB00292	drug
DB09118	drug
DB01558	drug
DB01588	drug
DB01107	drug
DB00349	drug
DB00463	drug
DB00546	drug
DB00189	drug
DB00475	drug
DB01215	drug
DB01956	drug
DB01589	drug
DB00186	drug
DB00371	drug
DB00897	drug
DB00683	drug
DB00829	drug
DB01595	drug
DB01437	drug
DB00659	drug
DB00818	drug
DB00402	drug
DB01068	drug
DB11582	drug
DB00231	drug
113675	protein
3728	protein
DB01698	drug
8644	protein
DB00905	drug
117144	protein
DB00770	drug
6280	protein
54107	protein
DB00819	drug
358	protein
5601	protein
7376	protein
6505	protein
3507	protein
5052	protein
3091	protein
1198	protein
8767	protein
1019	protein
10733	protein
4698	protein
6616	protein
DB00130	drug
2752	protein
4140	protein
DB00148	drug
1152	protein
4715	protein
4879	protein
3853	protein
4967	protein
2203	protein
6258	protein
2495	protein
2954	protein
5585	protein
DB00993	drug
3251	protein
DB01033	drug
4723	protein
23549	protein
6257	protein
55191	protein
2653	protein
64129	protein
23564	protein
2882	protein
6820	protein
DB00607	drug
9356	protein
DB01140	drug
DB01032	drug
DB01212	drug
DB01060	drug
DB00493	drug
1196	protein
6652	protein
51327	protein
1468	protein
443	protein
cyclosporin-a	drug
5530	protein
DB09220	drug
10060	protein
4792	protein
9817	protein
5478	protein
DB01110	drug
56302	protein
5159	protein
DB00102	drug
4835	protein
DB00170	drug
2580	protein
58190	protein
4145	protein
4706	protein
189	protein
3779	protein
1263	protein
85007	protein
7276	protein
5973	protein
DB01394	drug
7278	protein
DB00361	drug
DB04845	drug
216	protein
6273	protein
635	protein
6285	protein
3612	protein
6275	protein
2941	protein
DB00063	drug
3674	protein
DB00775	drug
DB00054	drug
DB00448	drug
4137	protein
DB00637	drug
2745	protein
653361	protein
5328	protein
5054	protein
2258	protein
DB00020	drug
6383	protein
5566	protein
bucladesine	drug
DB02701	drug
142	protein
DB09074	drug
3725	protein
DB00570	drug
DB01029	drug
5423	protein
2064	protein
2065	protein
5296	protein
3326	protein
5979	protein
2044	protein
3065	protein
DB08868	drug
DB06819	drug
9759	protein
10014	protein
10013	protein
1	protein
23235	protein
778	protein
11011	protein
9641	protein
9475	protein
DB13165	drug
5707	protein
373156	protein
5298	protein
8780	protein
DB04865	drug
6122	protein
5198	protein
673	protein
DB08881	drug
8899	protein
DB00642	drug
471	protein
DB00997	drug
9221	protein
23332	protein
epalrestat	drug
231	protein
DB00605	drug
11331	protein
10298	protein
5837	protein
sodium-monofluorophosphate	drug
7123	protein
815	protein
816	protein
DB00688	drug
3615	protein
DB01024	drug
DB00352	drug
817	protein
5062	protein
4947	protein
2011	protein
1327	protein
DB01104	drug
10857	protein
DB00445	drug
1105	protein
ethanolamine-oleate	drug
2167	protein
5516	protein
DB01197	drug
4048	protein
4350	protein
DB04743	drug
4057	protein
6279	protein
8408	protein
54205	protein
7284	protein
8570	protein
811	protein
23012	protein
10558	protein
4522	protein
DB00174	drug
6510	protein
3933	protein
4069	protein
DB02772	drug
10039	protein
3992	protein
2934	protein
5476	protein
DB08873	drug
DB00119	drug
6566	protein
3716	protein
5352	protein
DB00115	drug
4548	protein
DB00200	drug
9377	protein
117159	protein
388697	protein
DB00181	drug
115207	protein
3493	protein
3351	protein
DB00216	drug
DB00669	drug
DB00998	drug
DB00315	drug
DB00953	drug
DB09286	drug
DB00952	drug
DB00918	drug
DB00904	drug
fluphenazine-decanoate	drug
DB00320	drug
10797	protein
5424	protein
9891	protein
8604	protein
23042	protein
6790	protein
1717	protein
2806	protein
3354	protein
DB04842	drug
DB01253	drug
DB00784	drug
5743	protein
DB13167	drug
DB01397	drug
DB00991	drug
DB09217	drug
DB00154	drug
DB00461	drug
DB08910	drug
DB13217	drug
DB00814	drug
DB01628	drug
DB00936	drug
DB00500	drug
DB00712	drug
DB01009	drug
DB12233	drug
DB00788	drug
DB06736	drug
flurbiprofen-(S)-(+)	drug
DB06725	drug
DB01401	drug
DB01399	drug
DB00469	drug
DB01283	drug
DB11071	drug
deracoxib	drug
DB00580	drug
bendazac	drug
ufenamate	drug
DB00963	drug
DB00821	drug
DB08984	drug
DB09212	drug
DB00480	drug
DB01435	drug
DB01404	drug
DB00533	drug
amtolmetin-guacil	drug
DB00554	drug
DB13783	drug
DB04552	drug
DB00812	drug
DB01600	drug
ibuprofen-lysine	drug
DB00861	drug
DB12545	drug
353	protein
6037	protein
5691	protein
347	protein
54861	protein
5683	protein
4704	protein
2597	protein
2618	protein
301	protein
79751	protein
1345	protein
302	protein
873	protein
1036	protein
5610	protein
27148	protein
6472	protein
5688	protein
5160	protein
26330	protein
65061	protein
4942	protein
DB01078	drug
483	protein
5687	protein
5723	protein
5802	protein
DB01077	drug
DB09131	drug
1476	protein
DB09568	drug
1892	protein
1329	protein
1503	protein
1340	protein
5295	protein
3702	protein
4791	protein
DB01296	drug
4214	protein
1431	protein
29110	protein
7124	protein
DB06674	drug
DB00065	drug
DB00005	drug
DB08904	drug
DB00051	drug
DB04951	drug
DB01427	drug
7133	protein
3784	protein
DB00808	drug
DB04953	drug
38	protein
1832	protein
DB00040	drug
2642	protein
DB00541	drug
203068	protein
58	protein
DB00925	drug
801	protein
DB04841	drug
DB00527	drug
DB01100	drug
DB01429	drug
DB01069	drug
7067	protein
613	protein
3055	protein
DB04216	drug
7277	protein
9448	protein
5430	protein
7283	protein
5127	protein
836	protein
7535	protein
983	protein
1111	protein
11200	protein
DB00752	drug
23028	protein
91	protein
2042	protein
DB01015	drug
2950	protein
DB00615	drug
3320	protein
DB00716	drug
5591	protein
1385	protein
4193	protein
595	protein
83933	protein
55869	protein
5595	protein
2534	protein
3932	protein
5156	protein
5347	protein
334	protein
DB00121	drug
31	protein
1859	protein
51564	protein
10746	protein
4139	protein
5287	protein
8711	protein
7465	protein
9734	protein
658	protein
27	protein
3815	protein
2023	protein
2931	protein
1003	protein
1571	protein
DB00503	drug
DB00951	drug
7184	protein
4508	protein
1147	protein
3848	protein
8569	protein
7161	protein
5294	protein
5467	protein
DB00374	drug
5686	protein
3783	protein
DB00356	drug
DB00740	drug
DB00158	drug
6573	protein
DB00641	drug
3689	protein
5329	protein
5604	protein
DB05239	drug
79661	protein
777	protein
23420	protein
1950	protein
DB00677	drug
7018	protein
6647	protein
DB00988	drug
5579	protein
5580	protein
5581	protein
695	protein
55561	protein
784	protein
DB00780	drug
2572	protein
834	protein
4842	protein
DB09241	drug
DB08907	drug
6523	protein
DB09038	drug
DB06292	drug
6789	protein
DB01243	drug
4986	protein
DB00652	drug
DB00454	drug
DB01209	drug
budipine	drug
2902	protein
DB00949	drug
DB01043	drug
DB04896	drug
DB09481	drug
cycloserine-(d)	drug
DB01173	drug
DB00289	drug
5578	protein
DB01396	drug
476	protein
DB00511	drug
DB01430	drug
DB01378	drug
DB01119	drug
DB13996	drug
DB06697	drug
DB01158	drug
DB00390	drug
DB00774	drug
DB01092	drug
DB01021	drug
DB01188	drug
DB00204	drug
3768	protein
9706	protein
4035	protein
DB00384	drug
6340	protein
4803	protein
821	protein
3827	protein
DB05541	drug
6324	protein
DB00252	drug
DB00999	drug
759	protein
DB00391	drug
DB00869	drug
DB00703	drug
DB00562	drug
DB01194	drug
DB00311	drug
DB03255	drug
DB00880	drug
DB00232	drug
DB01144	drug
DB00436	drug
DB00423	drug
DB01325	drug
DB01031	drug
DB00310	drug
DB04665	drug
DB00075	drug
919	protein
760	protein
DB00695	drug
DB11085	drug
1786	protein
DB01099	drug
DB01035	drug
DB01278	drug
10267	protein
10266	protein
10268	protein
fenigam	drug
2550	protein
DB00837	drug
DB02530	drug
DB01080	drug
55576	protein
22927	protein
7846	protein
DB00643	drug
DB08860	drug
3156	protein
DB01098	drug
DB00175	drug
DB01095	drug
DB01076	drug
DB00439	drug
2	protein
DB00626	drug
DB08888	drug
5598	protein
28996	protein
DB04106	drug
7296	protein
51022	protein
DB00122	drug
5338	protein
DB14006	drug
12	protein
467	protein
DB00672	drug
6833	protein
DB01120	drug
DB01251	drug
6093	protein
3858	protein
1737	protein
5162	protein
6261	protein
DB01219	drug
DB09085	drug
5608	protein
3998	protein
DB11748	drug
177	protein
2911	protein
3630	protein
DB00107	drug
5020	protein
5128	protein
481	protein
57787	protein
10988	protein
4134	protein
5553	protein
9149	protein
3736	protein
3737	protein
DB00995	drug
3551	protein
DB00309	drug
81027	protein
57665	protein
DB01005	drug
6240	protein
DB00441	drug
6241	protein
DB05260	drug
50484	protein
773	protein
6401	protein
768	protein
27347	protein
DB00761	drug
6558	protein
DB08961	drug
DB02925	drug
3569	protein
DB09036	drug
DB06273	drug
3570	protein
DB11767	drug
9748	protein
3757	protein
DB01074	drug
DB00176	drug
DB00199	drug
DB00280	drug
DB06217	drug
DB00457	drug
DB12082	drug
DB00590	drug
DB00604	drug
DB01162	drug
DB00908	drug
DB12364	drug
DB00679	drug
DB00276	drug
DB01211	drug
DB00455	drug
DB00342	drug
DB00537	drug
DB01195	drug
3490	protein
DB00044	drug
3973	protein
DB00014	drug
DB09126	drug
DB00097	drug
DB06719	drug
DB00032	drug
7224	protein
4296	protein
56655	protein
1814	protein
DB00433	drug
DB05271	drug
DB09223	drug
DB11274	drug
DB08922	drug
DB00450	drug
DB00875	drug
DB06684	drug
DB01235	drug
DB01184	drug
DB00502	drug
DB12478	drug
haloperidol-decanoate	drug
DB06016	drug
DB06288	drug
nemonapride	drug
DB04946	drug
1813	protein
clebopride	drug
DB09097	drug
DB01624	drug
DB12867	drug
DB09128	drug
DB08815	drug
DB00372	drug
DB00508	drug
DB01618	drug
DB01621	drug
DB01233	drug
DB01622	drug
DB00662	drug
DB12401	drug
r(-)-apomorphine	drug
DB00915	drug
DB01623	drug
DB09018	drug
DB04924	drug
DB04844	drug
DB01425	drug
DB00933	drug
1815	protein
DB00800	drug
6347	protein
3741	protein
DB00297	drug
7280	protein
7297	protein
4318	protein
348	protein
5055	protein
3897	protein
3767	protein
3482	protein
DB09083	drug
348980	protein
610	protein
57657	protein
10021	protein
DB00026	drug
3554	protein
3654	protein
1514	protein
DB07477	drug
196	protein
DB00379	drug
DB00338	drug
DB08995	drug
1613	protein
8856	protein
DB00682	drug
DB01220	drug
DB13179	drug
DB00754	drug
DB00531	drug
DB01181	drug
DB00564	drug
DB01045	drug
2335	protein
7436	protein
2872	protein
2876	protein
DB09035	drug
5133	protein
DB09037	drug
3786	protein
3785	protein
56479	protein
1195	protein
1462	protein
1404	protein
6262	protein
4294	protein
DB00146	drug
7421	protein
falecalcitriol	drug
DB00910	drug
DB06410	drug
DB02300	drug
DB00136	drug
DB00169	drug
DB13689	drug
DB01070	drug
DB00153	drug
DB06272	drug
51079	protein
DB01206	drug
81551	protein
2904	protein
2081	protein
5337	protein
6195	protein
DB00042	drug
6844	protein
57396	protein
DB00017	drug
799	protein
1163	protein
22809	protein
23173	protein
1719	protein
DB00250	drug
DB00440	drug
DB06813	drug
DB00563	drug
DB01157	drug
3075	protein
3747	protein
3746	protein
2697	protein
DB00640	drug
135	protein
DB00824	drug
DB11757	drug
DB04932	drug
DB06213	drug
DB01412	drug
1131	protein
DB01036	drug
DB00185	drug
DB04843	drug
DB11235	drug
aceclidine	drug
DB00517	drug
DB00424	drug
DB00462	drug
DB01062	drug
DB00340	drug
DB01085	drug
DB00715	drug
DB01409	drug
DB09167	drug
DB00376	drug
DB00747	drug
DB03128	drug
DB00411	drug
DB00383	drug
DB08897	drug
vinburnine	drug
DB01591	drug
DB00505	drug
DB09262	drug
DB00804	drug
DB06702	drug
DB01231	drug
DB00670	drug
DB06709	drug
DB00809	drug
DB00387	drug
DB00332	drug
trepibutone	drug
DB00771	drug
DB11181	drug
DB00986	drug
DB00572	drug
DB00729	drug
DB09076	drug
DB00782	drug
DB00810	drug
DB00725	drug
DB01019	drug
diphemanil	drug
DB00835	drug
DB00496	drug
DB01625	drug
6197	protein
DB00036	drug
2152	protein
DB09332	drug
2155	protein
5196	protein
2043	protein
11113	protein
DB06439	drug
4023	protein
DB04878	drug
8972	protein
DB00284	drug
960	protein
DB00674	drug
1139	protein
DB01483	drug
DB00657	drug
DB01199	drug
6284	protein
DB01164	drug
3760	protein
DB00052	drug
2690	protein
DB00082	drug
10673	protein
DB08879	drug
90411	protein
DB00112	drug
7422	protein
DB01270	drug
DB08885	drug
DB09047	drug
7153	protein
DB01059	drug
DB00978	drug
DB01165	drug
DB01177	drug
DB00685	drug
DB04576	drug
DB00385	drug
DB01204	drug
DB04967	drug
DB01208	drug
DB01137	drug
DB00467	drug
DB06193	drug
DB00218	drug
2147	protein
DB04898	drug
dabigatran-etexilate	drug
DB06695	drug
DB00001	drug
DB12598	drug
dabigatran	drug
DB09109	drug
DB00006	drug
DB11166	drug
DB09228	drug
DB05777	drug
5327	protein
DB00513	drug
DB08932	drug
1910	protein
DB06403	drug
DB00559	drug
DB06268	drug
ACT-132577	drug
DB00092	drug
914	protein
3356	protein
DB09016	drug
DB00843	drug
DB00924	drug
DB08810	drug
DB00751	drug
1066	protein
DB04838	drug
4846	protein
DB00360	drug
DB00579	drug
6531	protein
DB01105	drug
DB01156	drug
DB00285	drug
DB00937	drug
DB01146	drug
DB06700	drug
DB01576	drug
DB00745	drug
DB00865	drug
benztropine-mesylate	drug
DB06701	drug
DB01255	drug
DB00245	drug
DB06413	drug
DB00422	drug
DB01175	drug
DB00830	drug
DB01577	drug
DB01114	drug
DB00191	drug
4144	protein
5618	protein
7525	protein
774	protein
DB01202	drug
291	protein
10769	protein
147	protein
DB06694	drug
DB00706	drug
DB09205	drug
DB01579	drug
DB00211	drug
DB06707	drug
DB00692	drug
DB00575	drug
DB00298	drug
DB00723	drug
DB00388	drug
10645	protein
5148	protein
DB00862	drug
DB00203	drug
152503	protein
9088	protein
2862	protein
DB00207	drug
111	protein
2562	protein
DB06716	drug
DB00425	drug
5606	protein
6898	protein
DB00120	drug
79885	protein
5321	protein
1909	protein
2895	protein
64386	protein
10114	protein
DB05630	drug
7150	protein
DB01030	drug
SN-38	drug
DB00762	drug
4255	protein
DB00853	drug
5685	protein
DB00686	drug
2246	protein
9468	protein
DB00069	drug
3454	protein
DB00068	drug
DB00008	drug
DB00060	drug
DB00105	drug
DB00034	drug
DB00022	drug
2891	protein
2892	protein
41	protein
2901	protein
128	protein
DB00822	drug
217	protein
5293	protein
23649	protein
785	protein
1363	protein
780	protein
1633	protein
DB00738	drug
1787	protein
7167	protein
23539	protein
374291	protein
10544	protein
5694	protein
2159	protein
DB09075	drug
DB06605	drug
DB09258	drug
DB01225	drug
DB06228	drug
DB00569	drug
4726	protein
335	protein
7786	protein
2638	protein
2747	protein
53904	protein
2936	protein
DB00262	drug
3043	protein
DB09140	drug
3163	protein
51477	protein
56901	protein
4190	protein
4700	protein
4701	protein
4714	protein
4729	protein
DB09270	drug
4731	protein
221955	protein
DB00435	drug
3620	protein
DB00150	drug
9061	protein
25824	protein
5621	protein
DB00759	drug
5775	protein
DB11157	drug
9479	protein
27330	protein
5104	protein
10991	protein
DB00117	drug
DB00254	drug
567	protein
6470	protein
440	protein
10381	protein
5047	protein
7358	protein
8703	protein
DB12159	drug
3566	protein
6511	protein
283	protein
1160	protein
1513	protein
79676	protein
10249	protein
9568	protein
2948	protein
meldonium	drug
8424	protein
DB09026	drug
5972	protein
DB00212	drug
DB09046	drug
3953	protein
5539	protein
DB00787	drug
56144	protein
tebipenem	drug
5699	protein
771	protein
